productSKU,parent_sku,thread_id
CJYD200880620TG,CJWJWJDZ00221,thread_Z6v9eADTUsIunltRqgWHwm7z
CJYD200880621UF,CJWJWJDZ00221,thread_LKiB55VmIaJaCiEgnJtZINnO
CJYD200880625YB,CJWJWJDZ00221,thread_V83uDNQGkkYrPx3iudsHGimw
CJYD200880626ZA,CJWJWJDZ00221,thread_24ti1YEHruNw7gObdRT9S9Ta
CJYD200880627AZ,CJWJWJDZ00221,thread_bNySOQ1OBPhg91tPGyN2R0Hp
CJYD200880622VE,CJWJWJDZ00221,thread_Rzpyd3BCUh7S6C27ppQBYUYB
CJYD200880623WD,CJWJWJDZ00221,thread_alby4gv8xQ6c3Fo0AJAOxas3
CJYD200880624XC,CJWJWJDZ00221,thread_Tn8voVCycvHjDelXjC0fiEO9
CJYD200880601AZ,CJWJWJDZ00221,thread_whkpboQzhFrW2W9qRstP7gX2
CJYD200880602BY,CJWJWJDZ00221,thread_N9QnN1xbK30g4AEFWiOspXmj
CJYD200880603CX,CJWJWJDZ00221,thread_Rt6mvsMeJ8W2wr7x50p0Crqf
CJYD200880613MN,CJWJWJDZ00221,thread_LK45DdP4OyBvBqlgMGbGTQbs
CJYD200880614NM,CJWJWJDZ00221,thread_fKursaKkjKhhouT3gHRBLAnk
CJYD200880615OL,CJWJWJDZ00221,thread_bRtAAVPJixtdDch3pAaCwNFq
CJYD200880616PK,CJWJWJDZ00221,thread_yGAbjSE2wctDyD9JW5z2Ujq0
CJYD200880617QJ,CJWJWJDZ00221,thread_1UU90OCN0HSHW9ZVc9pBEFBQ
CJYD200880618RI,CJWJWJDZ00221,thread_T7YefDBH7YpzUixYxipxstFA
CJYD200880610JQ,CJWJWJDZ00221,thread_CZuhF5xHXrsws4LEQjXSeyzB
CJYD200880605EV,CJWJWJDZ00221,thread_xDyKJDCfw1olaFSkAmnOyvEP
CJYD200880609IR,CJWJWJDZ00221,thread_38ZM2y7o4HcyTySowboaCumH
CJGY138893501AZ,CJWJWJDZ00221,thread_QRxaaRjAARPCb5mma77UNEht
CJGY138893502BY,CJWJWJDZ00221,thread_d5nTieqPhAVFYZwPff8u0Ff0
CJGY138893504DW,CJWJWJDZ00221,thread_LJD6sCbXlSP0PQwilN7kPIqm
CJGY138893505EV,CJWJWJDZ00221,thread_ierrpne0EPbaTA68Mydo2sNr
CJGY138893508HS,CJWJWJDZ00221,thread_y6tIMeHIZIvOA3BODv8RYgUp
CJMY2004958,CJMY2004958,thread_hYOPBlpIe8J77tz0P3Ufdjaf
CJMY200495801AZ,CJWJWJDZ00221,thread_7FuZ0bt3UI7PbrauhBx0n1QJ
CJMY200495805EV,CJWJWJDZ00221,thread_22prUN6zoBz0AsUEyisMq6VN
CJMY200495803CX,CJWJWJDZ00221,thread_3eQOPIKW7Ru7jnFdlJZW1fQB
CJMY200495807GT,CJWJWJDZ00221,thread_zsK5PV6Urt6id76Jq5Q1mgLy
CJMY200495802BY,CJWJWJDZ00221,thread_kYd4FWy2MhNe4GtmjQW9GPA0
CJMY200495806FU,CJWJWJDZ00221,thread_gUAX9tvc1bZIQx9Y4lagGE4l
CJMY200495804DW,CJWJWJDZ00221,thread_JQKGqmfU23Pi3Y57wDSurtUB
CJMY200495808HS,CJWJWJDZ00221,thread_aQ8wsZKKctWcexmNc1utGUyR
